location,Basel
lat,47.75000
lon,7.50000
asl,363.653
variable,Temperature
unit,°C
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Basel Temperature [2 m elevation corrected]
20230124T1900,3.7702456
20230124T2000,3.4502454
20230124T2100,3.3902454
20230124T2200,3.4802456
20230124T2300,3.1002455
20230125T0000,2.5902452
20230125T0100,3.1802454
20230125T0200,2.5802455
20230125T0300,2.7002454
20230125T0400,2.5402455
20230125T0500,2.5902452
20230125T0600,2.7102456
20230125T0700,2.3202453
20230125T0800,2.4602454
20230125T0900,2.2802453
20230125T1000,2.6202455
20230125T1100,2.8302455
20230125T1200,3.0402455
20230125T1300,3.1002455
20230125T1400,3.3102455
20230125T1500,3.4902453
20230125T1600,3.5702453
20230125T1700,3.6002455
20230125T1800,2.7902455
20230125T1900,3.5602455
20230125T2000,3.3902454
20230125T2100,3.2502456
20230125T2200,3.1302452
20230125T2300,2.6302452
20230126T0000,2.4202454
20230126T0100,1.8802454
20230126T0200,1.4702454
20230126T0300,0.8002454
20230126T0400,0.7202454
20230126T0500,0.6802454
20230126T0600,0.2802454
20230126T0700,0.5802454
20230126T0800,0.5302454
20230126T0900,0.64024544
20230126T1000,0.4502454
20230126T1100,0.4902454
20230126T1200,0.7102454
20230126T1300,0.9402454
20230126T1400,0.9002454
20230126T1500,0.9302454
20230126T1600,0.7102454
20230126T1700,0.5602454
20230126T1800,0.3602454
20230126T1900,0.00024539232
20230126T2000,-0.24975461
20230126T2100,-0.48975456
20230126T2200,-0.5597546
20230126T2300,-0.7197546
20230127T0000,-0.72975457
20230127T0100,-0.90975463
20230127T0200,-0.87975454
20230127T0300,-0.9297546
20230127T0400,-1.0797546
20230127T0500,-1.0897546
20230127T0600,-0.9197546
20230127T0700,-0.9597546
20230127T0800,-0.6797546
20230127T0900,-0.63975465
20230127T1000,-0.4597546
20230127T1100,-0.11975461
20230127T1200,0.3702454
20230127T1300,0.8602454
20230127T1400,1.1802454
20230127T1500,1.4702454
20230127T1600,1.4202454
20230127T1700,1.4002454
20230127T1800,1.1102455
20230127T1900,0.6102454
20230127T2000,0.17024541
20230127T2100,0.17024541
20230127T2200,0.4602454
20230127T2300,0.3802454
20230128T0000,0.52024543
20230128T0100,0.19024539
20230128T0200,0.060245395
20230128T0300,0.050245404
20230128T0400,0.030245423
20230128T0500,-0.10975462
20230128T0600,0.3802454
20230128T0700,0.5102454
20230128T0800,0.77024543
20230128T0900,0.8502454
20230128T1000,1.2102454
20230128T1100,1.5502454
20230128T1200,2.0302453
20230128T1300,2.4102454
20230128T1400,2.7002454
20230128T1500,2.7202454
20230128T1600,2.9202452
20230128T1700,2.8702455
20230128T1800,2.5602455
20230128T1900,2.2102454
20230128T2000,2.0502453
20230128T2100,1.5202454
20230128T2200,1.0602454
20230128T2300,1.0502454
20230129T0000,0.6602454
20230129T0100,1.0102454
20230129T0200,0.6602454
20230129T0300,0.77024543
20230129T0400,-0.1397546
20230129T0500,0.080245405
20230129T0600,-0.3297546
20230129T0700,0.5802454
20230129T0800,0.090245396
20230129T0900,0.4302454
20230129T1000,0.6002454
20230129T1100,0.9202454
20230129T1200,1.3802454
20230129T1300,1.9502454
20230129T1400,2.1302454
20230129T1500,2.4002454
20230129T1600,2.4802454
20230129T1700,2.5502453
20230129T1800,2.0102453
20230129T1900,2.1802454
20230129T2000,1.0102454
20230129T2100,-0.08975458
20230129T2200,-2.3497548
20230129T2300,-2.7297544
20230130T0000,-1.9897546
20230130T0100,-1.9797546
20230130T0200,-2.6297545
20230130T0300,-2.8197546
20230130T0400,-3.1397548
20230130T0500,-2.6797547
20230130T0600,-2.0497546
20230130T0700,-1.7597545
20230130T0800,-2.1697545
20230130T0900,-1.8397547
